mergeid,time,co002e,co003e,country,educ_year,ep005_,ep106_1,gender,hhsize,int_year,partnerinhh,yrbirth
AT-096872-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Male,6,2007.0,Yes,1952.0
AT-096872-01,2011,1000.0,150.0,Austria,,Employed or self-employed (including working for family business),,Male,5,2011.0,Yes,1952.0
AT-096872-01,2013,,,Austria,,Employed or self-employed (including working for family business),,Male,6,2013,Yes,1952.0
AT-096872-01,2015,,,Austria,,Permanently sick or disabled,,Male,6,2015,Yes,1952.0
AT-106919-01,2004,700.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),60.0,Female,2,2004,Yes,1946
AT-106919-01,2013,300.0,50.0,Austria,,Retired,,Female,1,2013,No,1946.0
AT-106919-01,2015,300.0,20.0,Austria,,Retired,,Female,1,2015,No,1946.0
AT-106919-01,2017,300.0,100.0,Austria,,Retired,,Female,1,2017,No,1946.0
AT-115757-01,2004,150.0,100.0,Austria,12.0,Employed or self-employed (including working for family business),64.0,Male,1,2004,No,1949
AT-115757-01,2006,200.0,20.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2007.0,No,1949.0
AT-115757-01,2011,300.0,20.0,Austria,,Retired,,Male,1,2011.0,No,1949.0
AT-115757-01,2013,250.0,0.0,Austria,,Retired,,Male,1,2013,No,1949.0
AT-115757-01,2017,150.0,0.0,Austria,,Retired,,Male,1,2017,No,1949.0
AT-119996-01,2004,1000.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004,Yes,1947
AT-119996-01,2006,800.0,50.0,Austria,,Employed or self-employed (including working for family business),,Male,3,2007.0,Yes,1947.0
AT-127180-01,2004,300.0,160.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,2,2004,Yes,1950
AT-127180-01,2006,500.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2006.0,Yes,1950.0
AT-127180-01,2011,900.0,150.0,Austria,,Retired,,Male,2,2011.0,Yes,1950.0
AT-127180-01,2013,800.0,100.0,Austria,,Retired,,Male,2,2013,Yes,1950.0
AT-127180-01,2015,500.0,0.0,Austria,,Retired,,Male,2,2015,Yes,1950.0
AT-132853-01,2004,400.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),65.0,Male,2,2004,Yes,1946
AT-144828-01,2004,500.0,70.0,Austria,15.0,Employed or self-employed (including working for family business),60.0,Male,1,2004,No,1947
AT-144828-01,2006,400.0,100.0,Austria,,Retired,,Male,1,2007.0,No,1947.0
AT-144828-01,2013,400.0,400.0,Austria,,Retired,,Male,2,2013,Yes,1947.0
AT-151846-01,2004,250.0,50.0,Austria,12.0,Employed or self-employed (including working for family business),62.0,Male,1,2004,No,1948
AT-151846-01,2006,120.0,50.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2007.0,No,1948.0
AT-151846-01,2011,200.0,100.0,Austria,,Retired,,Male,1,2011.0,No,1948.0
AT-151846-01,2015,150.0,100.0,Austria,,Retired,,Male,1,2015,No,1948.0
AT-151846-01,2017,200.0,100.0,Austria,,Retired,,Male,1,2017,No,1948.0
AT-155307-01,2004,300.0,0.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,2,2004,Yes,1952
AT-155307-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Male,3,2007.0,Yes,1952.0
AT-169782-01,2004,500.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),63.0,Female,1,2004,No,1952
AT-170349-01,2004,200.0,50.0,Austria,15.0,Employed or self-employed (including working for family business),60.0,Female,3,2004,No,1948
AT-170349-01,2006,250.0,0.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2007.0,No,1948.0
AT-170349-01,2011,200.0,30.0,Austria,,Retired,,Female,2,2011.0,No,1948.0
AT-170349-01,2013,200.0,70.0,Austria,,Retired,,Female,1,2013,No,1948.0
AT-172234-01,2004,1000.0,20.0,Austria,15.0,Employed or self-employed (including working for family business),63.0,Male,2,2004,Yes,1949
AT-172234-01,2011,500.0,100.0,Austria,,Retired,,Male,2,2011.0,Yes,1949.0
AT-172234-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1949.0
AT-175220-01,2004,500.0,400.0,Austria,17.0,Employed or self-employed (including working for family business),63.0,Male,2,2004,Yes,1944
AT-175220-01,2006,,,Austria,,,,Male,2,2007.0,Yes,1944.0
AT-177589-01,2004,300.0,50.0,Austria,12.0,Employed or self-employed (including working for family business),61.0,Male,3,2004,Yes,1949
AT-177589-01,2006,200.0,25.0,Austria,,Employed or self-employed (including working for family business),,Male,4,2007.0,Yes,1949.0
AT-177589-01,2011,300.0,50.0,Austria,,Retired,,Male,3,2011.0,Yes,1949.0
AT-177589-01,2013,,,Austria,,Retired,,Male,3,2013,Yes,1949.0
AT-177589-01,2015,400.0,200.0,Austria,,Retired,,Male,2,2015,Yes,1949.0
AT-177589-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1949.0
AT-193230-01,2004,200.0,100.0,Austria,16.0,Employed or self-employed (including working for family business),61.0,Female,1,2004,No,1954
AT-193230-01,2006,400.0,200.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2007.0,No,1954.0
AT-193230-01,2013,350.0,200.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2013,No,1954.0
AT-193230-01,2015,250.0,100.0,Austria,,Retired,,Female,1,2015,No,1954.0
AT-193230-01,2017,350.0,200.0,Austria,,Retired,,Female,2,2017,Yes,1954.0
AT-197284-01,2004,200.0,150.0,Austria,15.0,Employed or self-employed (including working for family business),60.0,Male,2,2004,Yes,1947
AT-197284-01,2006,600.0,50.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1947.0
AT-197284-01,2011,400.0,50.0,Austria,,Retired,,Male,2,2011.0,Yes,1947.0
AT-197284-01,2013,250.0,0.0,Austria,,Retired,,Male,2,2013,Yes,1947.0
AT-197284-01,2015,400.0,0.0,Austria,,Retired,,Male,2,2015,Yes,1947.0
AT-197284-01,2017,400.0,100.0,Austria,,Retired,,Male,2,2017,Yes,1947.0
AT-201172-01,2004,600.0,400.0,Austria,12.0,Employed or self-employed (including working for family business),55.0,Female,4,2004,Yes,1952
AT-201172-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Female,3,2007.0,Yes,1952.0
AT-201172-01,2011,,,Austria,,Retired,,Female,3,2011.0,Yes,1952.0
AT-201172-01,2013,,,Austria,,Retired,,Female,3,2013,Yes,1952.0
AT-201172-01,2015,,,Austria,,Retired,,Female,3,2015,Yes,1952.0
AT-201172-01,2017,,,Austria,,Retired,,Female,3,2017,Yes,1952.0
AT-210709-01,2004,650.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),55.0,Male,4,2004,Yes,1950
AT-210709-01,2006,,,Austria,,Retired,,Male,4,2006.0,Yes,1950.0
AT-210709-01,2013,600.0,40.0,Austria,,Retired,,Male,3,2013,Yes,1950.0
AT-210709-01,2017,400.0,70.0,Austria,,Retired,,Male,2,2017,Yes,1950.0
AT-212936-01,2004,500.0,150.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,3,2004,Yes,1944
AT-212936-01,2006,600.0,150.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1944.0
AT-212936-01,2013,600.0,200.0,Austria,,Retired,,Male,2,2013,Yes,1944.0
AT-212936-01,2015,500.0,200.0,Austria,,Retired,,Male,2,2015,Yes,1944.0
AT-212936-01,2017,400.0,200.0,Austria,,Retired,,Male,2,2017,Yes,1944.0
AT-214457-01,2004,300.0,250.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,1,2004,No,1948
AT-214457-01,2006,300.0,550.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2006.0,No,1948.0
AT-214457-01,2011,500.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2011.0,No,1948.0
AT-214457-01,2013,300.0,500.0,Austria,,Retired,,Male,1,2013,No,1948.0
AT-214457-01,2015,400.0,350.0,Austria,,Retired,,Male,1,2015,No,1948.0
AT-214457-01,2017,400.0,150.0,Austria,,Retired,,Male,1,2017,No,1948.0
AT-216308-01,2004,400.0,100.0,Austria,17.0,Employed or self-employed (including working for family business),60.0,Female,4,2004,Yes,1951
AT-220811-01,2004,200.0,60.0,Austria,8.0,Employed or self-employed (including working for family business),60.0,Female,1,2004,No,1952
AT-220811-01,2006,200.0,30.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2006.0,No,1952.0
AT-220811-01,2011,250.0,50.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2011.0,No,1952.0
AT-220811-01,2013,250.0,50.0,Austria,,Retired,,Female,1,2013,No,1952.0
AT-220811-01,2015,300.0,50.0,Austria,,Retired,,Female,1,2015,No,1952.0
AT-220811-01,2017,300.0,100.0,Austria,,Retired,,Female,1,2017,No,1952.0
AT-223215-01,2004,500.0,50.0,Austria,8.0,Employed or self-employed (including working for family business),57.0,Female,3,2004,Yes,1952
AT-223215-01,2006,600.0,100.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2007.0,Yes,1952.0
AT-223215-01,2011,450.0,50.0,Austria,,Retired,,Female,2,2011.0,Yes,1952.0
AT-223215-01,2013,500.0,0.0,Austria,,Retired,,Female,2,2013,Yes,1952.0
AT-223215-01,2015,500.0,50.0,Austria,,Retired,,Female,2,2015,Yes,1952.0
AT-223215-01,2017,500.0,0.0,Austria,,Retired,,Female,2,2017,Yes,1952.0
AT-228688-01,2004,500.0,100.0,Austria,4.0,Employed or self-employed (including working for family business),65.0,Female,2,2004,Yes,1957
AT-247602-01,2004,400.0,30.0,Austria,8.0,Employed or self-employed (including working for family business),65.0,Male,6,2004,Yes,1953
AT-247602-01,2006,200.0,50.0,Austria,,Employed or self-employed (including working for family business),,Male,8,2007.0,Yes,1953.0
AT-247602-01,2013,300.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,5,2013,Yes,1953.0
AT-247602-01,2015,600.0,150.0,Austria,,Retired,,Male,5,2015,Yes,1953.0
AT-247602-01,2017,600.0,70.0,Austria,,Retired,,Male,4,2017,Yes,1953.0
AT-248289-01,2004,400.0,70.0,Austria,12.0,Employed or self-employed (including working for family business),60.0,Female,3,2004,No,1945
AT-248289-01,2006,300.0,50.0,Austria,,Retired,,Female,1,2006.0,No,1945.0
AT-252650-02,2004,150.0,200.0,Austria,4.0,Employed or self-employed (including working for family business),56.0,Female,2,2004,Yes,1953
AT-252650-02,2006,450.0,0.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2007.0,No,1953.0
AT-274631-01,2004,200.0,100.0,Austria,15.0,Employed or self-employed (including working for family business),65.0,Male,2,2004,Yes,1953
AT-274631-01,2006,600.0,500.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1953.0
AT-274631-01,2011,400.0,400.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2011.0,Yes,1953.0
AT-274631-01,2013,350.0,100.0,Austria,,Retired,,Male,2,2013,Yes,1953.0
AT-274631-01,2015,250.0,50.0,Austria,,Retired,,Male,2,2015,Yes,1953.0
AT-293993-01,2004,400.0,150.0,Austria,8.0,Employed or self-employed (including working for family business),65.0,Male,3,2004,No,1948
AT-293993-01,2013,200.0,330.0,Austria,,Retired,,Male,2,2013,No,1948.0
AT-293993-01,2015,600.0,300.0,Austria,,Retired,,Male,2,2015,No,1948.0
AT-293993-01,2017,200.0,200.0,Austria,,Retired,,Male,3,2017,No,1948.0
AT-295147-01,2004,200.0,50.0,Austria,14.0,Employed or self-employed (including working for family business),65.0,Male,1,2004,No,1951
AT-295147-01,2006,300.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2007.0,No,1951.0
AT-295147-01,2013,400.0,50.0,Austria,,Retired,,Male,2,2013,Yes,1951.0
AT-295147-01,2015,600.0,100.0,Austria,,Retired,,Male,2,2015,Yes,1951.0
AT-295147-01,2017,450.0,100.0,Austria,,Retired,,Male,2,2017,Yes,1951.0
AT-299698-01,2004,600.0,100.0,Austria,12.0,Employed or self-employed (including working for family business),61.0,Male,5,2004,Yes,1949
AT-299698-01,2006,400.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1949.0
AT-299698-01,2013,400.0,100.0,Austria,,Retired,,Male,2,2013,Yes,1949.0
AT-299698-01,2015,,,Austria,,Retired,,Male,2,2015,Yes,1949.0
AT-299698-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1949.0
AT-300769-01,2004,600.0,150.0,Austria,12.0,Employed or self-employed (including working for family business),60.0,Male,5,2004,Yes,1949
AT-309689-01,2004,500.0,200.0,Austria,12.0,Employed or self-employed (including working for family business),61.0,Male,3,2004,Yes,1952
AT-309689-01,2006,,,Austria,,Retired,,Male,2,2007.0,Yes,1952.0
AT-309689-01,2011,,,Austria,,Retired,,Male,2,2011.0,Yes,1952.0
AT-309689-01,2013,,,Austria,,Retired,,Male,3,2013,Yes,1952.0
AT-309689-01,2015,,,Austria,,Retired,,Male,2,2015,Yes,1952.0
AT-309689-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1952.0
AT-321014-01,2004,150.0,200.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Female,1,2004,No,1952
AT-327938-01,2004,600.0,80.0,Austria,17.0,Employed or self-employed (including working for family business),65.0,Male,3,2004,Yes,1953
AT-327938-01,2006,400.0,50.0,Austria,,Employed or self-employed (including working for family business),,Male,3,2006.0,Yes,1953.0
AT-327938-01,2013,500.0,150.0,Austria,,Retired,,Male,2,2013,Yes,1953.0
AT-327938-01,2015,500.0,200.0,Austria,,Retired,,Male,2,2015,Yes,1953.0
AT-330952-01,2004,300.0,50.0,Austria,15.0,Employed or self-employed (including working for family business),63.0,Male,2,2004,Yes,1951
AT-330952-01,2006,600.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2006.0,Yes,1951.0
AT-330952-01,2011,,,Austria,,Retired,,Male,2,2011.0,Yes,1951.0
AT-350027-01,2004,300.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),60.0,Female,1,2004,No,1949
AT-350027-01,2006,,0.0,Austria,,Retired,,Female,1,2007.0,No,1949.0
AT-351201-01,2004,100.0,0.0,Austria,8.0,Employed or self-employed (including working for family business),60.0,Female,1,2004,No,1952
AT-351201-01,2006,150.0,0.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2007.0,No,1952.0
AT-351201-01,2011,200.0,0.0,Austria,,Retired,,Female,1,2011.0,No,1952.0
AT-351201-01,2013,300.0,0.0,Austria,,Retired,,Female,1,2013,No,1952.0
AT-351201-01,2015,200.0,0.0,Austria,,Retired,,Female,1,2015,No,1952.0
AT-351201-01,2017,300.0,0.0,Austria,,Retired,,Female,1,2017,No,1952.0
AT-356107-01,2004,300.0,0.0,Austria,15.0,Employed or self-employed (including working for family business),65.0,Male,1,2004,No,1947
AT-356107-01,2006,200.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2006.0,Yes,1947.0
AT-356107-01,2015,300.0,200.0,Austria,,Retired,,Male,2,2015,No,1947.0
AT-356107-01,2017,300.0,50.0,Austria,,Retired,,Male,3,2017,Yes,1947.0
AT-365495-01,2004,400.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),60.0,Female,1,2004,No,1951
AT-365495-01,2006,400.0,0.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2007.0,No,1951.0
AT-366334-01,2004,500.0,0.0,Austria,13.0,Employed or self-employed (including working for family business),57.0,Female,2,2004,Yes,1954
AT-366334-01,2006,400.0,100.0,Austria,,Employed or self-employed (including working for family business),,Female,3,2007.0,Yes,1954.0
AT-366334-01,2011,,,Austria,,Retired,,Female,2,2011.0,Yes,1954.0
AT-366334-01,2013,250.0,70.0,Austria,,Retired,,Female,2,2013,Yes,1954.0
AT-366334-01,2015,,,Austria,,Retired,,Female,2,2015,Yes,1954.0
AT-366334-01,2017,,,Austria,,Retired,,Female,2,2017,Yes,1954.0
AT-377928-01,2004,700.0,150.0,Austria,14.0,Employed or self-employed (including working for family business),65.0,Male,4,2004,Yes,1946
AT-377928-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Male,3,2007.0,Yes,1946.0
AT-377928-01,2011,,,Austria,,,,Male,3,2011.0,Yes,1946.0
AT-377928-01,2013,,,Austria,,Retired,,Male,2,2013,Yes,1946.0
AT-377928-01,2015,,,Austria,,,,Male,2,2015,Yes,1946.0
AT-377928-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1946.0
AT-385446-01,2004,700.0,100.0,Austria,14.0,Employed or self-employed (including working for family business),62.0,Male,3,2004,Yes,1952
AT-385446-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1952.0
AT-385446-01,2011,,100.0,Austria,,Retired,,Male,2,2011.0,Yes,1952.0
AT-385446-01,2013,500.0,150.0,Austria,,Retired,,Male,2,2013,Yes,1952.0
AT-385446-01,2015,500.0,100.0,Austria,,Retired,,Male,2,2015,Yes,1952.0
AT-385446-01,2017,500.0,200.0,Austria,,Retired,,Male,2,2017,Yes,1952.0
AT-387071-01,2004,500.0,30.0,Austria,15.0,Employed or self-employed (including working for family business),60.0,Male,2,2004,Yes,1949
AT-387071-01,2006,450.0,40.0,Austria,,Retired,,Male,2,2007.0,Yes,1949.0
AT-387071-01,2011,450.0,600.0,Austria,,Retired,,Male,2,2011.0,Yes,1949.0
AT-387071-01,2013,450.0,400.0,Austria,,Retired,,Male,2,2013,Yes,1949.0
AT-387071-01,2015,450.0,50.0,Austria,,Retired,,Male,2,2015,Yes,1949.0
AT-387071-01,2017,250.0,100.0,Austria,,Retired,,Male,2,2017,Yes,1949.0
AT-387966-01,2004,700.0,0.0,Austria,12.0,Employed or self-employed (including working for family business),58.0,Female,5,2004,Yes,1948
AT-387966-01,2006,600.0,100.0,Austria,,Retired,,Female,5,2007.0,Yes,1948.0
AT-387966-01,2011,400.0,0.0,Austria,,Retired,,Female,3,2011.0,Yes,1948.0
AT-387966-01,2013,300.0,0.0,Austria,,Homemaker,,Female,2,2013,Yes,1948.0
AT-387966-01,2015,700.0,50.0,Austria,,Retired,,Female,2,2015,Yes,1948.0
AT-387966-01,2017,1000.0,0.0,Austria,,Retired,,Female,2,2017,Yes,1948.0
AT-394032-01,2004,800.0,10.0,Austria,16.0,Employed or self-employed (including working for family business),60.0,Male,2,2004,Yes,1947
AT-394032-01,2006,,,Austria,,Employed or self-employed (including working for family business),,Male,3,2007.0,Yes,1947.0
AT-394032-01,2011,400.0,60.0,Austria,,Retired,,Male,3,2011.0,Yes,1947.0
AT-394032-01,2013,400.0,150.0,Austria,,Retired,,Male,4,2013,Yes,1947.0
AT-394032-01,2015,250.0,100.0,Austria,,Retired,,Male,3,2015,Yes,1947.0
AT-394032-01,2017,,,Austria,,Retired,,Male,3,2017,Yes,1947.0
AT-401952-01,2004,100.0,200.0,Austria,11.0,Employed or self-employed (including working for family business),70.0,Female,1,2004,No,1944
AT-443659-01,2004,300.0,500.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,1,2004,No,1953
AT-443659-01,2006,300.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,1,2007.0,No,1953.0
AT-450136-01,2004,600.0,0.0,Austria,4.0,Employed or self-employed (including working for family business),71.0,Female,1,2004,No,1935
AT-450136-01,2006,60.0,0.0,Austria,,Retired,,Female,1,2007.0,No,1935.0
AT-450136-01,2011,600.0,0.0,Austria,,Retired,,Female,1,2011.0,No,1935.0
AT-450136-01,2013,200.0,20.0,Austria,,Retired,,Female,1,2013,No,1935.0
AT-450136-01,2015,150.0,10.0,Austria,,Retired,,Female,1,2015,No,1935.0
AT-450136-01,2017,120.0,10.0,Austria,,Retired,,Female,1,2017,No,1935.0
AT-450575-01,2004,400.0,50.0,Austria,12.0,Employed or self-employed (including working for family business),58.0,Female,2,2004,No,1953
AT-450575-01,2006,300.0,30.0,Austria,,Employed or self-employed (including working for family business),,Female,1,2007.0,No,1953.0
AT-450575-01,2011,,50.0,Austria,,Retired,,Female,1,2011.0,No,1953.0
AT-450575-01,2013,250.0,200.0,Austria,,Retired,,Female,1,2013,No,1953.0
AT-450624-01,2004,1000.0,70.0,Austria,17.0,Employed or self-employed (including working for family business),61.0,Female,3,2004,Yes,1953
AT-450624-01,2006,700.0,60.0,Austria,,Employed or self-employed (including working for family business),,Female,2,2007.0,Yes,1953.0
AT-451603-01,2004,360.0,70.0,Austria,11.0,Employed or self-employed (including working for family business),62.0,Male,3,2004,Yes,1946
AT-451603-01,2006,500.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1946.0
AT-451603-01,2011,600.0,100.0,Austria,,Retired,,Male,2,2011.0,Yes,1946.0
AT-451603-01,2013,400.0,70.0,Austria,,Retired,,Male,2,2013,Yes,1946.0
AT-451603-01,2015,500.0,100.0,Austria,,Retired,,Male,2,2015,Yes,1946.0
AT-451603-01,2017,450.0,50.0,Austria,,Retired,,Male,2,2017,Yes,1946.0
AT-461149-02,2004,250.0,150.0,Austria,12.0,Employed or self-employed (including working for family business),60.0,Female,2,2004,Yes,1948
AT-461149-02,2006,600.0,200.0,Austria,,Retired,,Female,2,2007.0,Yes,1948.0
AT-461149-02,2011,300.0,80.0,Austria,,Homemaker,,Female,2,2011.0,Yes,1948.0
AT-461149-02,2015,600.0,100.0,Austria,,Retired,,Female,2,2015,Yes,1948.0
AT-461149-02,2017,,,Austria,,Retired,,Female,2,2017,Yes,1948.0
AT-465159-01,2004,800.0,200.0,Austria,14.0,Employed or self-employed (including working for family business),60.0,Male,3,2004,Yes,1950
AT-479198-01,2004,500.0,300.0,Austria,12.0,Employed or self-employed (including working for family business),57.0,Male,2,2004,Yes,1953
AT-479198-01,2006,500.0,200.0,Austria,,Employed or self-employed (including working for family business),,Male,2,2007.0,Yes,1953.0
AT-479198-01,2011,300.0,50.0,Austria,,Retired,,Male,2,2011.0,Yes,1953.0
AT-479198-01,2013,300.0,40.0,Austria,,Retired,,Male,2,2013,Yes,1953.0
AT-479198-01,2015,,,Austria,,Retired,,Male,2,2015,Yes,1953.0
AT-479198-01,2017,300.0,100.0,Austria,,Retired,,Male,2,2017,Yes,1953.0
AT-482123-01,2004,1200.0,150.0,Austria,14.0,Employed or self-employed (including working for family business),56.0,Male,4,2004,Yes,1952
AT-482123-01,2006,400.0,100.0,Austria,,Employed or self-employed (including working for family business),,Male,4,2006.0,Yes,1952.0
AT-482123-01,2011,200.0,60.0,Austria,,Retired,,Male,2,2011.0,Yes,1952.0
AT-482123-01,2013,500.0,250.0,Austria,,Retired,,Male,2,2013,Yes,1952.0
AT-482123-01,2015,,,Austria,,Retired,,Male,2,2015,Yes,1952.0
AT-482123-01,2017,,,Austria,,Retired,,Male,2,2017,Yes,1952.0
AT-482891-01,2004,300.0,50.0,Austria,12.0,Employed or self-employed (including working for family business),60.0,Female,2,2004,Yes,1946
AT-482891-01,2006,400.0,50.0,Austria,,Retired,,Female,3,2007.0,Yes,1946.0
AT-482891-01,2011,250.0,40.0,Austria,,Retired,,Female,3,2011.0,Yes,1946.0
AT-482891-01,2013,,,Austria,,Retired,,Female,2,2013,Yes,1946.0
AT-482891-01,2015,100.0,150.0,Austria,,Retired,,Female,2,2015,Yes,1946.0
AT-482891-01,2017,,,Austria,,Retired,,Female,2,2017,Yes,1946.0
AT-506194-01,2004,600.0,70.0,Austria,14.0,Employed or self-employed (including working for family business),62.0,Male,4,2004,Yes,1952
AT-506194-01,2006,300.0,15.0,Austria,,Employed or self-employed (including working for family business),,Male,4,2007.0,Yes,1952.0
AT-506194-01,2011,300.0,20.0,Austria,,Employed or self-employed (including working for family business),,Male,3,2011.0,Yes,1952.0
AT-506194-01,2013,600.0,50.0,Austria,,Retired,,Male,3,2013,Yes,1952.0
AT-506194-01,2015,,,Austria,,Retired,,Male,3,2015,Yes,1952.0
AT-506194-01,2017,500.0,50.0,Austria,,Retired,,Male,4,2017,Yes,1952.0
AT-506332-01,2004,700.0,100.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,4,2004,Yes,1952
AT-506332-01,2006,400.0,150.0,Austria,,Retired,,Male,3,2007.0,Yes,1952.0
AT-507886-01,2004,500.0,30.0,Austria,12.0,Employed or self-employed (including working for family business),65.0,Male,2,2004,Yes,1949
AT-507886-01,2011,500.0,100.0,Austria,,Retired,,Male,2,2011.0,Yes,1949.0
